hhid,province,district,ur,quintile,weight,poverty,epov_jan,strata_id
300001.0,City of Kigali,Nyarugenge,Urban,Q5,170.95819504509035,Non Poor,Non Extreme Poor,111
300002.0,City of Kigali,Nyarugenge,Urban,Q5,170.95819504509035,Non Poor,Non Extreme Poor,111
300003.0,City of Kigali,Nyarugenge,Urban,Q5,170.95819504509035,Non Poor,Non Extreme Poor,111
300004.0,City of Kigali,Nyarugenge,Urban,Q5,170.95819504509035,Non Poor,Non Extreme Poor,111
300005.0,City of Kigali,Nyarugenge,Urban,Q3,170.95819504509035,Non Poor,Non Extreme Poor,111
300006.0,City of Kigali,Nyarugenge,Urban,Q4,170.95819504509035,Non Poor,Non Extreme Poor,111
300007.0,City of Kigali,Nyarugenge,Urban,Q5,170.95819504509035,Non Poor,Non Extreme Poor,111
300008.0,City of Kigali,Nyarugenge,Urban,Q4,170.95819504509035,Non Poor,Non Extreme Poor,111
300009.0,City of Kigali,Nyarugenge,Urban,Q2,170.95819504509035,Moderately poor,Non Extreme Poor,111
300010.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,Non Extreme Poor,111
300011.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,Non Extreme Poor,111
300012.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,Non Extreme Poor,111
300013.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,Non Extreme Poor,111
300014.0,City of Kigali,Nyarugenge,Urban,Q4,185.53341740226986,Non Poor,Non Extreme Poor,111
300015.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,Non Extreme Poor,111
300016.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,Non Extreme Poor,111
300017.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,Non Extreme Poor,111
300018.0,City of Kigali,Nyarugenge,Urban,Q5,185.53341740226986,Non Poor,Non Extreme Poor,111
300019.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,Non Extreme Poor,111
300020.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,Non Extreme Poor,111
300021.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,Non Extreme Poor,111
300022.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,Non Extreme Poor,111
300023.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,Non Extreme Poor,111
300024.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,Non Extreme Poor,111
300025.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,Non Extreme Poor,111
300026.0,City of Kigali,Nyarugenge,Urban,Q5,147.64597531773808,Non Poor,Non Extreme Poor,111
300027.0,City of Kigali,Nyarugenge,Rural,Q5,112.27013727013727,Non Poor,Non Extreme Poor,112
300028.0,City of Kigali,Nyarugenge,Rural,Q1,112.27013727013727,Moderately poor,Non Extreme Poor,112
300029.0,City of Kigali,Nyarugenge,Rural,Q4,112.27013727013727,Non Poor,Non Extreme Poor,112
300030.0,City of Kigali,Nyarugenge,Rural,Q1,112.27013727013727,Moderately poor,Non Extreme Poor,112
