hhid,cpi_code,cpi_category,total_spend_rwf
300001.0,01,Food and non-alcoholic beverages,38275.0
300002.0,01,Food and non-alcoholic beverages,7700.0
300003.0,01,Food and non-alcoholic beverages,46400.0
300004.0,01,Food and non-alcoholic beverages,37620.0
300005.0,01,Food and non-alcoholic beverages,17270.0
300006.0,01,Food and non-alcoholic beverages,21752.0
300007.0,01,Food and non-alcoholic beverages,8230.0
300008.0,01,Food and non-alcoholic beverages,33800.0
300010.0,01,Food and non-alcoholic beverages,22250.0
300011.0,01,Food and non-alcoholic beverages,93606.0
300012.0,01,Food and non-alcoholic beverages,74501.0
300013.0,01,Food and non-alcoholic beverages,87305.76000000001
300014.0,01,Food and non-alcoholic beverages,45154.2
300015.0,01,Food and non-alcoholic beverages,13955.47
300016.0,01,Food and non-alcoholic beverages,59350.0
300017.0,01,Food and non-alcoholic beverages,9750.0
300018.0,01,Food and non-alcoholic beverages,21520.0
300019.0,01,Food and non-alcoholic beverages,23751.78
300020.0,01,Food and non-alcoholic beverages,41600.0
300021.0,01,Food and non-alcoholic beverages,27200.0
300022.0,01,Food and non-alcoholic beverages,14200.0
300023.0,01,Food and non-alcoholic beverages,9951.0
300024.0,01,Food and non-alcoholic beverages,16100.0
300025.0,01,Food and non-alcoholic beverages,61530.0
300026.0,01,Food and non-alcoholic beverages,32200.25
300027.0,01,Food and non-alcoholic beverages,19702.666
300028.0,01,Food and non-alcoholic beverages,24087.5
300029.0,01,Food and non-alcoholic beverages,38357.0
300030.0,01,Food and non-alcoholic beverages,14600.65
300031.0,01,Food and non-alcoholic beverages,46013.5
300032.0,01,Food and non-alcoholic beverages,21400.0
300033.0,01,Food and non-alcoholic beverages,43901.0
300034.0,01,Food and non-alcoholic beverages,32853.5
300035.0,01,Food and non-alcoholic beverages,31266.5
300036.0,01,Food and non-alcoholic beverages,16180.0
300037.0,01,Food and non-alcoholic beverages,19850.0
300038.0,01,Food and non-alcoholic beverages,8350.5
300040.0,01,Food and non-alcoholic beverages,1780.0
300041.0,01,Food and non-alcoholic beverages,44640.0
300042.0,01,Food and non-alcoholic beverages,18520.0
300043.0,01,Food and non-alcoholic beverages,6380.0
300044.0,01,Food and non-alcoholic beverages,5370.125
300045.0,01,Food and non-alcoholic beverages,20812.75
300046.0,01,Food and non-alcoholic beverages,14850.0
300047.0,01,Food and non-alcoholic beverages,7500.0
300048.0,01,Food and non-alcoholic beverages,47400.3
300049.0,01,Food and non-alcoholic beverages,45350.0
300050.0,01,Food and non-alcoholic beverages,119760.32
300051.0,01,Food and non-alcoholic beverages,50925.0
300052.0,01,Food and non-alcoholic beverages,29680.0
300054.0,01,Food and non-alcoholic beverages,42150.0
300055.0,01,Food and non-alcoholic beverages,1000.0
300056.0,01,Food and non-alcoholic beverages,10101.5
300057.0,01,Food and non-alcoholic beverages,38800.0
300058.0,01,Food and non-alcoholic beverages,30733.0
300059.0,01,Food and non-alcoholic beverages,62370.8
300060.0,01,Food and non-alcoholic beverages,24250.25
300061.0,01,Food and non-alcoholic beverages,34300.5
300062.0,01,Food and non-alcoholic beverages,29202.8
300063.0,01,Food and non-alcoholic beverages,61050.0
300064.0,01,Food and non-alcoholic beverages,15060.25
300065.0,01,Food and non-alcoholic beverages,123425.25
