hhid,cpi_code,cpi_category,total_spend_rwf
300001.0,03,Clothing and footwear,246000.0
300001.0,05,Furnishing and household,26000.0
300001.0,06,Health,23000.0
300001.0,12,Miscellaneous,29000.0
300002.0,03,Clothing and footwear,25000.0
300002.0,10,Education,200.0
300003.0,05,Furnishing and household,2000.0
300003.0,06,Health,3000.0
300003.0,12,Miscellaneous,9000.0
300005.0,05,Furnishing and household,26000.0
300006.0,03,Clothing and footwear,40000.0
300007.0,04,Housing and utilities,8000.0
300007.0,06,Health,6000.0
300008.0,03,Clothing and footwear,14000.0
300008.0,06,Health,45000.0
300010.0,03,Clothing and footwear,20000.0
300010.0,09,Recreation and culture,5000.0
300010.0,12,Miscellaneous,12000.0
300011.0,03,Clothing and footwear,70000.0
300012.0,06,Health,285000.0
300012.0,07,Transport,48000.0
300012.0,08,Communication,30000.0
300013.0,03,Clothing and footwear,1000.0
300013.0,04,Housing and utilities,2000.0
300013.0,05,Furnishing and household,1000.0
300013.0,06,Health,103000.0
300014.0,05,Furnishing and household,2500.0
300015.0,05,Furnishing and household,37500.0
300016.0,03,Clothing and footwear,3000.0
300018.0,03,Clothing and footwear,4000.0
300018.0,05,Furnishing and household,3000.0
300018.0,06,Health,6000.0
300019.0,03,Clothing and footwear,105000.0
300020.0,03,Clothing and footwear,435000.0
300020.0,06,Health,35000.0
300020.0,07,Transport,500.0
300020.0,09,Recreation and culture,24000.0
300020.0,12,Miscellaneous,75000.0
300021.0,03,Clothing and footwear,43000.0
300021.0,05,Furnishing and household,13000.0
300022.0,08,Communication,5000.0
300023.0,06,Health,12000.0
300023.0,07,Transport,900.0
300025.0,03,Clothing and footwear,30000.0
300026.0,03,Clothing and footwear,16000.0
300026.0,05,Furnishing and household,39000.0
300026.0,06,Health,2000.0
300026.0,12,Miscellaneous,12000.0
300028.0,03,Clothing and footwear,17000.0
300028.0,04,Housing and utilities,100.0
300029.0,04,Housing and utilities,100.0
300030.0,03,Clothing and footwear,1500.0
300030.0,04,Housing and utilities,2000.0
300030.0,05,Furnishing and household,6000.0
300031.0,07,Transport,14000.0
300031.0,08,Communication,20000.0
300032.0,04,Housing and utilities,65.0
300032.0,05,Furnishing and household,13000.0
300033.0,05,Furnishing and household,13000.0
300034.0,12,Miscellaneous,20000.0
300036.0,03,Clothing and footwear,73000.0
300036.0,05,Furnishing and household,5000.0
300036.0,12,Miscellaneous,3000.0
300037.0,03,Clothing and footwear,15000.0
300037.0,12,Miscellaneous,8000.0
300038.0,03,Clothing and footwear,9000.0
300038.0,05,Furnishing and household,9000.0
300038.0,06,Health,23000.0
300039.0,12,Miscellaneous,500.0
300040.0,05,Furnishing and household,20000.0
300040.0,06,Health,3000.0
300040.0,12,Miscellaneous,15000.0
300041.0,03,Clothing and footwear,25000.0
300041.0,12,Miscellaneous,400.0
300042.0,03,Clothing and footwear,15000.0
300044.0,03,Clothing and footwear,1500.0
300044.0,05,Furnishing and household,7700.0
