Province,U_R,COICOP,Category_Name,Weight,Weight_pct,Date,CPI_Index,Year,Month,YearMonth,YoY_pct,MoM_pct
0,0,00,GENERAL INDEX (CPI),10000.000000000005,100.00000000000004,2026-08-10,241.36677572335137,2026,8,2026-08,15.861719896506642,2.563600185225967
0,0,01,Food and non-alcoholic beverages,3903.5428337111343,39.03542833711134,2026-08-10,296.7720433533329,2026,8,2026-08,16.65783653931472,4.619895539676611
0,0,01.1.1,v     Bread and cereals,662.2591994582781,6.622591994582781,2026-08-10,230.97893794565456,2026,8,2026-08,4.143441260723568,1.0134610603870442
0,0,01.1.2,v     Meat,173.7715732678241,1.737715732678241,2026-08-10,419.9538196426989,2026,8,2026-08,32.51611077825465,2.546425282846232
0,0,01.1.4,"v     Milk, cheese and eggs",112.97526668095993,1.1297526668095994,2026-08-10,231.98413050372082,2026,8,2026-08,5.102424002357364,0.8395127879375464
0,0,01.1.7,v     Vegetables,1842.8570486570281,18.42857048657028,2026-08-10,329.11323851614566,2026,8,2026-08,22.583201962412545,6.568387570112
0,0,01.2,v     Non-alcoholic beverages,114.62930950425736,1.1462930950425736,2026-08-10,223.76453458680325,2026,8,2026-08,8.816817228325391,0.683370785256443
0,0,02,Alcoholic beverages and tobacco,680.8440217778525,6.808440217778525,2026-08-10,269.0023517164134,2026,8,2026-08,8.205808166144134,-1.3797046668376556
0,0,03,Clothing and footwear,530.9944773078367,5.309944773078367,2026-08-10,181.78125524210114,2026,8,2026-08,5.007692639027539,0.3500991604204584
0,0,04,"Housing, water, electricity, gas and other fuels",1827.7758311936157,18.277758311936157,2026-08-10,186.13943774433454,2026,8,2026-08,19.88895330495115,-0.39279068341626644
0,0,05,"Furnishing, household equipment and routine household maintenance",345.92335209688025,3.4592335209688025,2026-08-10,191.83132213627374,2026,8,2026-08,10.171292284373724,1.3591495742616422
0,0,06,Health,121.09522911844475,1.2109522911844475,2026-08-10,191.53067571515973,2026,8,2026-08,2.6622318944836243,0.03595367309103814
0,0,07,Transport,772.5927231856721,7.72592723185672,2026-08-10,230.58589896364882,2026,8,2026-08,27.54233950482552,0.13057021737625796
0,0,08,Communication,238.1321768462081,2.381321768462081,2026-08-10,157.4060511384677,2026,8,2026-08,27.618575818487855,25.342244401642123
0,0,09,Recreation and culture,218.13981330048003,2.1813981330048002,2026-08-10,180.54002082576608,2026,8,2026-08,11.615613073772835,0.3597486778454062
0,0,10,Education,200.9885867838568,2.009885867838568,2026-08-10,216.56954487694378,2026,8,2026-08,11.838136916804443,0.0
0,0,11,Restaurants and hotels,643.9875038495742,6.4398750384957415,2026-08-10,214.45756987955824,2026,8,2026-08,13.74101302797779,1.6326330768287267
0,0,12,Miscellaneous goods and services,515.9834508284413,5.159834508284413,2026-08-10,165.69308343568392,2026,8,2026-08,10.705106639504148,2.2558291433080635
