cpi_code,category_name,weight_pct,current_yoy,avg_mom_6m,forecast_m1_index,forecast_m2_index,forecast_m3_index,forecast_yoy_m1,confidence_range,trend
01,Food and non-alcoholic beverages,39.03542833711134,16.66,2.206,303.3182,310.0088,316.8469,19.23,3.22,Rising
02,Alcoholic beverages and tobacco,6.808440217778525,8.21,0.181,269.4896,269.9777,270.4667,8.4,1.88,Stable
03,Clothing and footwear,5.309944773078367,5.01,0.505,182.6992,183.6217,184.5489,5.54,0.38,Rising
04,"Housing, water, electricity, gas and other fuels",18.27775831193616,19.89,0.75,187.5348,188.9406,190.3569,20.79,6.41,Rising
05,"Furnishing, household equipment and routine household maintenance",3.4592335209688025,10.17,1.174,194.0835,196.3621,198.6675,11.46,0.8,Rising
06,Health,1.2109522911844477,2.66,0.295,192.0955,192.6621,193.2303,2.96,0.52,Stable
07,Transport,7.72592723185672,27.54,2.499,236.348,242.2541,248.3078,30.73,10.31,Rising
08,Communication,2.381321768462081,27.62,7.422,169.089,181.639,195.1205,37.09,13.99,Rising
09,Recreation and culture,2.1813981330048,11.62,0.871,182.112,183.6977,185.2972,12.59,1.27,Rising
10,Education,2.009885867838568,11.84,0.18,216.9588,217.3488,217.7395,12.04,0.42,Stable
11,Restaurants and hotels,6.4398750384957415,13.74,0.998,216.5974,218.7586,220.9414,14.88,0.81,Rising
12,Miscellaneous goods and services,5.159834508284413,10.71,1.385,167.9873,170.3132,172.6714,12.24,1.19,Rising
