district,ur,cpi_code,cpi_category,category_district_spend,household_count,avg_spend_rwf,total_district_spend,basket_share_pct
Nyarugenge,Urban,01,Food and non-alcoholic beverages,2418965711.3402824,511.0,28180.0,6802587117.658105,35.56
Nyarugenge,Urban,02,Alcoholic beverages and tobacco,584971.9799333562,5.0,720.0,6802587117.658105,0.01
Nyarugenge,Urban,03,Clothing and footwear,1667302103.8838396,199.0,52778.0,6802587117.658105,24.51
Nyarugenge,Urban,04,Housing and utilities,98959518.68777288,78.0,7422.0,6802587117.658105,1.45
Nyarugenge,Urban,05,Furnishing and household,698568482.9276971,155.0,26993.0,6802587117.658105,10.27
Nyarugenge,Urban,06,Health,1017313266.2930608,159.0,34633.0,6802587117.658105,14.95
Nyarugenge,Urban,07,Transport,87660418.10027635,29.0,15376.0,6802587117.658105,1.29
Nyarugenge,Urban,08,Communication,37642669.205586545,28.0,8029.0,6802587117.658105,0.55
Nyarugenge,Urban,09,Recreation and culture,32558888.61274166,17.0,13053.0,6802587117.658105,0.48
Nyarugenge,Urban,10,Education,790638.9978432623,2.0,2100.0,6802587117.658105,0.01
Nyarugenge,Urban,11,Restaurants and hotels,51015501.50447399,3.0,123333.0,6802587117.658105,0.75
Nyarugenge,Urban,12,Miscellaneous,691224946.1245967,136.0,31340.0,6802587117.658105,10.16
Nyarugenge,Rural,01,Food and non-alcoholic beverages,271340299.00245047,99.0,20333.0,572829483.7298813,47.37
Nyarugenge,Rural,02,Alcoholic beverages and tobacco,40560.70016939582,1.0,300.0,572829483.7298813,0.01
Nyarugenge,Rural,03,Clothing and footwear,94854906.66161864,30.0,23450.0,572829483.7298813,16.56
Nyarugenge,Rural,04,Housing and utilities,48135646.99643463,72.0,4969.0,572829483.7298813,8.4
Nyarugenge,Rural,05,Furnishing and household,84905968.6142766,39.0,16615.0,572829483.7298813,14.82
Nyarugenge,Rural,06,Health,49157018.756365635,34.0,10932.0,572829483.7298813,8.58
Nyarugenge,Rural,07,Transport,2076552.9760560954,3.0,6000.0,572829483.7298813,0.36
Nyarugenge,Rural,08,Communication,4941955.047160476,14.0,2814.0,572829483.7298813,0.86
Nyarugenge,Rural,09,Recreation and culture,533110.1868356769,1.0,4000.0,572829483.7298813,0.09
Nyarugenge,Rural,12,Miscellaneous,16843464.7885137,16.0,7834.0,572829483.7298813,2.94
Gasabo,Urban,01,Food and non-alcoholic beverages,6023761465.229967,508.0,30453.0,15457143069.248983,38.97
Gasabo,Urban,02,Alcoholic beverages and tobacco,1992447.1547465187,3.0,1567.0,15457143069.248983,0.01
Gasabo,Urban,03,Clothing and footwear,4203693789.9774947,180.0,65872.0,15457143069.248983,27.2
Gasabo,Urban,04,Housing and utilities,409425601.4822336,81.0,14132.0,15457143069.248983,2.65
Gasabo,Urban,05,Furnishing and household,1096516979.1400504,160.0,17024.0,15457143069.248983,7.09
Gasabo,Urban,06,Health,488490505.5939228,89.0,13773.0,15457143069.248983,3.16
Gasabo,Urban,07,Transport,2096337723.692356,35.0,221349.0,15457143069.248983,13.56
Gasabo,Urban,08,Communication,70784288.01276962,42.0,4787.0,15457143069.248983,0.46
Gasabo,Urban,09,Recreation and culture,172902553.01591653,18.0,27700.0,15457143069.248983,1.12
Gasabo,Urban,10,Education,95795.49345482298,2.0,150.0,15457143069.248983,0.0
Gasabo,Urban,11,Restaurants and hotels,57085580.546499714,3.0,46667.0,15457143069.248983,0.37
Gasabo,Urban,12,Miscellaneous,836056339.9095701,109.0,22567.0,15457143069.248983,5.41
Gasabo,Rural,01,Food and non-alcoholic beverages,731229630.7198572,124.0,16914.0,1730663630.595521,42.25
Gasabo,Rural,02,Alcoholic beverages and tobacco,151157.3033707865,1.0,450.0,1730663630.595521,0.01
Gasabo,Rural,03,Clothing and footwear,325852405.5347942,34.0,26594.0,1730663630.595521,18.83
Gasabo,Rural,04,Housing and utilities,86624849.1451312,91.0,2750.0,1730663630.595521,5.01
Gasabo,Rural,05,Furnishing and household,372140332.93714976,48.0,22646.0,1730663630.595521,21.5
Gasabo,Rural,06,Health,91512128.84662864,20.0,13170.0,1730663630.595521,5.29
Gasabo,Rural,07,Transport,1298218.272196519,5.0,722.0,1730663630.595521,0.08
Gasabo,Rural,08,Communication,3065686.5055777244,24.0,381.0,1730663630.595521,0.18
Gasabo,Rural,12,Miscellaneous,118789221.33081499,24.0,13842.0,1730663630.595521,6.86
Kicukiro,Urban,01,Food and non-alcoholic beverages,3404968474.2486587,599.0,27544.0,19000978121.510117,17.92
Kicukiro,Urban,02,Alcoholic beverages and tobacco,2136329.0079246326,5.0,2080.0,19000978121.510117,0.01
Kicukiro,Urban,03,Clothing and footwear,4059154686.6911774,249.0,80898.0,19000978121.510117,21.36
Kicukiro,Urban,04,Housing and utilities,333431546.8930675,104.0,15539.0,19000978121.510117,1.75
