district,ur,pressure_index,household_count,risk_level
Nyarugenge,Urban,10.64,1322.0,Medium
Nyarugenge,Rural,12.79,309.0,Medium
Gasabo,Urban,13.81,1230.0,Medium
Gasabo,Rural,12.11,371.0,Medium
Kicukiro,Urban,14.22,1724.0,High
Kicukiro,Rural,12.82,52.0,Medium
Nyanza,Urban,11.2,117.0,Medium
Nyanza,Rural,12.32,1299.0,Medium
Gisagara,Urban,11.55,79.0,Medium
Gisagara,Rural,11.36,1912.0,Medium
Nyaruguru,Urban,21.06,82.0,High
Nyaruguru,Rural,12.73,1842.0,Medium
Huye,Urban,16.91,338.0,High
Huye,Rural,14.26,1388.0,High
Nyamagabe,Urban,13.72,180.0,Medium
Nyamagabe,Rural,14.48,1477.0,High
Ruhango,Urban,11.21,242.0,Medium
Ruhango,Rural,16.49,2006.0,High
Muhanga,Urban,14.94,531.0,High
Muhanga,Rural,10.56,1800.0,Medium
Kamonyi,Urban,13.15,470.0,Medium
Kamonyi,Rural,13.8,1123.0,Medium
Karongi,Urban,12.18,185.0,Medium
Karongi,Rural,12.51,1825.0,Medium
Rutsiro,Urban,11.83,136.0,Medium
Rutsiro,Rural,12.47,2040.0,Medium
Rubavu,Urban,12.65,823.0,Medium
Rubavu,Rural,12.74,859.0,Medium
Nyabihu,Urban,14.23,438.0,High
Nyabihu,Rural,14.43,1408.0,High
Ngororero,Urban,14.73,136.0,High
Ngororero,Rural,12.19,2165.0,Medium
Rusizi,Urban,10.33,616.0,Medium
Rusizi,Rural,11.25,1346.0,Medium
Nyamasheke,Urban,10.04,175.0,Medium
Nyamasheke,Rural,11.01,2303.0,Medium
Rulindo,Urban,18.01,186.0,High
Rulindo,Rural,13.7,1662.0,Medium
Gakenke,Urban,13.06,67.0,Medium
Gakenke,Rural,10.74,2062.0,Medium
Musanze,Urban,14.62,770.0,High
Musanze,Rural,12.21,901.0,Medium
Burera,Urban,12.64,160.0,Medium
Burera,Rural,13.54,1606.0,Medium
Gicumbi,Urban,12.26,79.0,Medium
Gicumbi,Rural,13.3,1649.0,Medium
Rwamagana,Urban,13.59,539.0,Medium
Rwamagana,Rural,14.87,1001.0,High
Nyagatare,Urban,12.08,367.0,Medium
Nyagatare,Rural,13.83,1194.0,Medium
Gatsibo,Urban,11.76,185.0,Medium
Gatsibo,Rural,11.87,1970.0,Medium
Kayonza,Urban,11.92,247.0,Medium
Kayonza,Rural,11.65,1384.0,Medium
Kirehe,Urban,11.34,109.0,Medium
Kirehe,Rural,13.41,1699.0,Medium
Ngoma,Urban,13.19,145.0,Medium
Ngoma,Rural,15.39,1337.0,High
Bugesera,Urban,12.36,633.0,Medium
Bugesera,Rural,12.27,1053.0,Medium
